1006625091619950771	1
1023865296531030194	1
1029283827245412999	1
1038783470320343864	1
1039241694738496723	1
1043779651126994364	1
1060738655892741733	1
1068338480263764481	1
1095354579126552829	1
1116611438770100635	1
1119215082304605844	1
1162891585523885	1
1167182093037956918	1
1191234120597393604	1
142253415797160874	1
1456386274910726729	1
15398850795804	1
15402668222793	1
15402668223405	1
15410248630757	1
15412393431513	1
15412962425389	1
15412962425527	1
15413437187212	1
15413439071336	1
154135222505009986	1
15434701250814	1
15439374008802	1
15439374009129	1
15440208400839	1
15440208401268	1
15443763761970	1
15445628494447	1
15447515540370	1
15447520432126	1
15466794037385	1
15468559962891	1
15474130709289	1
15476861013276	1
15478282506521	1
15478282506629	1
15478450010026	1
15478477234976	1
15481864374117	1
15489946881047	1
15495874911185	1
15510928702153	1
15511746547518	1
15520443470642	1
15524886224943	1
15541395050618	1
15542763170472	1
15543820046563	1
15546498634805	1
15554873754025	1
15554873754445	1
15565267360785	1
15565921308920	1
15565921309124	1
15574965701225	1
15574965701303	1
15576693302210	1
15582997614858	1
15585915838174	1
15593123574083	1
15595472203519	1
15597996279506	1
15602987550908	1
15603662479647	1
15603662480280	1
15607276574028	1
15610181936361	1
15613281386996	1
15617345826136	1
15617345826484	1
15618386148504	1
15618386872784	1
15628421782127	1
15629308838193	1
15638035624469	1
15643223852997	1
15646091962595	1
15654283077435	1
15656116463323	1
15656393559096	1
15658940115522	1
15658940115699	1
15662461241406	1
15662463814033	1
15665277391267	1
15666946266783	1
15669051829274	1
15673573839306	1
15673573839555	1
15673862073478	1
15675850683646	1
15679479219820	1
15680066558155	1
15680066558209	1
15689232018989	1
15689232019214	1
15704680393739	1
15704680394648	1
15716369525954	1
15718924649431	1
15729658764115	1
15729658764226	1
15739785373289	1
15739785373373	1
15745737607506	1
15746042364416	1
15749780334801	1
15749780335122	1
15749981081908	1
15753232157073	1
15756047726621	1
15761259880918	1
15761288594692	1
15763460826414	1
15770449188247	1
15770449188478	1
15771065806510	1
15771065806603	1
15773228232745	1
15773228232898	1
15773996950034	1
15779656482352	1
15779656482358	1
15792233876737	1
15792233877316	1
15822422376957	1
15826132069642	1
15826132070014	1
15844475625696	1
15844475626206	1
15845921129422	1
15853617661434	1
15860166961039	1
15865926597039	1
15866888694395	1
15866888694527	1
15876372206413	1
15883277332962	1
15883277333403	1
15895077153169	1
15896391258267	1
15898036150171	1
15898150550590	1
15912337972847	1
15914085557604	1
15916686676651	1
15916686676708	1
15919351154329	1
15919351154467	1
15920172893252	1
15920172893384	1
15928231493817	1
15928232114811	1
15929223822344	1
15929223823181	1
15936122194414	1
15936122194858	1
15939676346192	1
15940104295786	1
15942025722809	1
15946681779832	1
15946681779991	1
15946712449635	1
15947589805193	1
15948132934850	1
15948134323655	1
15950514431143	1
15950514431608	1
15963815623913	1
15963815624324	1
15969044662886	1
15973719572662	1
15986215697584	1
15986215698130	1
15993670040626	1
15993670040947	1
15995945852107	1
15995945852146	1
16000330680628	1
16012532354959	1
16013556199516	1
16020030931252	1
16020030931780	1
16024360354959	1
16024360355775	1
16025385596770	1
16032734713026	1
16032734713491	1
16059278030898	1
16059278031456	1
16064654475896	1
16070964815126	1
16070964815270	1
16073198521036	1
16083217440667	1
16099703177815	1
16102805872107	1
16120662406791	1
16121871829519	1
16121871829624	1
16128765370258	1
16131217654912	1
16134405617293	1
16134405617533	1
16141107435795	1
16149135963543	1
16149135964047	1
16162187273025	1
16164972478694	1
16174488994025	1
16174488994346	1
16179844565618	1
16187505364417	1
16189807195810	1
16189807195885	1
16191420785828	1
16197048664708	1
16203854405207	1
16206670390532	1
16208276396607	1
16213888560511	1
16213888560742	1
16214418620919	1
16214578512684	1
16216832197832	1
16216832198402	1
16217804994309	1
16217805060659	1
16222013246129	1
16222046732821	1
16222046732986	1
16235144513673	1
16235144514102	1
16236313116103	1
16237636336822	1
16237636337128	1
16240823764732	1
16241771171941	1
16249797874807	1
16249797875110	1
16251755719177	1
16252667700553	1
16260827733600	1
16264812153936	1
16264812154446	1
16269480600532	1
16272219317796	1
16274757166451	1
16278371057203	1
16280027987252	1
16282575917931	1
16292048239918	1
16292393137790	1
16294081250432	1
16294081250654	1
16306651575652	1
16313724490775	1
16313724491444	1
16316614730546	1
16317698453698	1
16321899591246	1
16321899591315	1
16325479313704	1
16329510650701	1
16335750995828	1
16335750995942	1
16339180918740	1
16354783423670	1
16360985925315	1
16368874257623	1
16370384799133	1
16376456144345	1
16377897580816	1
16379296437159	1
16380124837085	1
16380124837757	1
16387046205961	1
16387046206189	1
16387198658973	1
16392596937027	1
16392596937702	1
16398194132336	1
16403319405275	1
16406339366520	1
16406339366595	1
16407457711820	1
16412557013906	1
16414062587044	1
16427997254225	1
16428029146255	1
16434865729868	1
16434865730402	1
16443141753638	1
16447126395719	1
16447181248501	1
16448658506420	1
16451389393693	1
16457788264945	1
16457788264963	1
16463309786945	1
16484185342281	1
16484185342653	1
16484514280954	1
16484514281461	1
16503927832713	1
16503927833418	1
1650418925485975966	1
16506832175673	1
16517833085257	1
16520397331551	1
16521162781755	1
16521162782706	1
